,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.7492508492460382,0.9865063364055299,0.8489534600186772,295,29.5,29.0,9.6,0.5,27.5,66.6
1,LI1,0.7304360548116097,0.8835069364481128,0.7949539301115374,348,34.8,30.7,11.6,4.1,20.2,66.6
2,L2,0.3,0.03159090909090909,0.05707070707070707,82,8.200000000000001,0.3,0.0,7.9,58.4,66.6
3,main,0.019136418323200517,0.02044735679510271,0.018290087066676577,0,0.0,0.0,0.0,0.0,0.0,0.0
4,MM9,0.0,0.0,0.0,15,1.5,0.0,0.0,1.5,65.1,66.6
5,PB1,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
6,OTHER,0.0,0.0,0.0,27,2.7,0.0,0.0,2.7,63.9,66.6
7,O1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
8,NB5,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
9,NB4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
10,NB3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
11,NB1,0.0,0.0,0.0,21,2.1,0.0,0.0,2.1,64.5,66.6
12,N1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
13,MM7,0.0,0.0,0.0,24,2.4,0.0,0.0,2.4,64.2,66.6
14,MM8,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
15,PN1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
16,MM6,0.0,0.0,0.0,20,2.0,0.0,0.0,2.0,64.6,66.6
17,MM5,0.0,0.0,0.0,18,1.8,0.0,0.0,1.8,64.8,66.6
18,MM4,0.0,0.0,0.0,14,1.4,0.0,0.0,1.4,65.2,66.6
19,MM3,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
20,MM2,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
21,MM1,0.0,0.0,0.0,32,3.2,0.0,0.0,3.2,63.4,66.6
22,LL2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
23,PB6,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
24,PN6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
25,LITERACY,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
26,SS2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
27,W2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
28,W1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
29,T3,0.0,0.0,0.0,20,2.0,0.0,0.0,2.0,64.6,66.6
30,T2,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
31,T1,0.0,0.0,0.0,16,1.6,0.0,0.0,1.6,65.0,66.6
32,SS9,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
33,SS8,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
34,SS6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
35,SS4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
36,SS1,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
37,R4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
38,SP4,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
39,SP3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
40,SP2,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
41,SP1,0.0,0.0,0.0,89,8.9,0.0,0.0,8.9,57.7,66.6
42,SA1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
43,S2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
44,RD7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
45,RD2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
46,RD1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
47,LL1,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
48,LI1F2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
49,LI2,0.0,0.0,0.0,72,7.2,0.0,0.0,7.2,59.4,66.6
50,F6,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
51,F3,0.0,0.0,0.0,9,0.9,0.0,0.0,0.9,65.7,66.6
52,F2,0.0,0.0,0.0,53,5.3,0.0,0.0,5.3,61.3,66.6
53,F1,0.0,0.0,0.0,149,14.9,0.0,0.0,14.9,51.7,66.6
54,E1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
55,D3,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
56,D2,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
57,CP5,0.0,0.0,0.0,35,3.5,0.0,0.0,3.5,63.1,66.6
58,CP4,0.0,0.0,0.0,12,1.2,0.0,0.0,1.2,65.4,66.6
59,CP2,0.0,0.0,0.0,12,1.2,0.0,0.0,1.2,65.4,66.6
60,CP1,0.0,0.0,0.0,18,1.8,0.0,0.0,1.8,64.8,66.6
61,CM1,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
62,CC4,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
63,CC3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
64,CC2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
